text,prediction
RT @jennfranconews: A tragic reality that is often overlooked.,-1.0
"RT @mrjaycoles: Hi. You can tweet Black lives matter, but if you’re leaving and going places without a mask, you don’t really value Black l…",-1.0
"RT @shaira__ahmed: it’s actually annoying af but you know what’s even more annoying? catching a virus, so I’ll take the foggy glasses 😌",-1.0
"RT @LoveAndShalom: Please, please, please don't sweep this under the rug. Your disabled friends are in danger. 

We must unite and fight th…",0.0
"@Tom_Jones82 I’ll give the benefit of the doubt for the most part regarding COVID response, because we didn’t and s… https://t.co/ccgPWFy9BZ",-1.0
"@ameyaw112 @Sarkidd_95 A reminder that, you are never safe until your neighbour is. Let's help keep ourselves safe… https://t.co/3rho7jHq6a",1.0
"RT @PippaCrerar: Labour leader Keir Starmer confirms he supports the easing of the lockdown.

But adds: “But unlike the Prime Minister I’m…",1.0
RT @Reuters: Crowds pack Arizona river as U.S. posts record COVID cases for three days running https://t.co/rR2RMzIVVv https://t.co/hZ4izjs…,1.0
RT @ians_india: A wedding ceremony has proved to be one of the worst cases of #COVID19 super spreader in #Bihar due to which over 100 perso…,-1.0
"RT @nypost: Rand Paul rips Fauci's coronavirus response, says Americans should not be “sheep” https://t.co/38e7AiwKDO https://t.co/zgVn6zCL…",1.0
RT @PramilaJayapal: Today would be a great day to cancel rent and mortgages during COVID-19.,1.0
"Shout out to all the people who’ve been working throughout this pandemic while being black and queer, it’s hard eno… https://t.co/1yyxEUN7Pl",-1.0
"RT @kylegriffin1: An official told the NYT that Trump's brief on February 27 included info on the Russia bounties report.

The Daily Beast…",0.0
RT @mrjamesob: Important to point out that politicians claiming to have taken back ‘control’ from Brussels belong to the party that had com…,1.0
"@DEEP_MIDNIGHT_ @KevinSWilson2 @chaddcripe As for the virus getting through masks, the virus cannot travel by itsel… https://t.co/aMw3bfvHX3",0.0
RT @kingvincent1992: Cousins ;They locked 🔒 themselves in the house 🏡 in fear 😱 of Corona virus But they got bored and decided to do the un…,0.0
"RT @DavidGriscom: Since the pandemic began American billionaires wealth has grown by $584 billion. 

What have you got in the past 3 months?",0.0
"RT @undisputed: ""I got bad news for you and the rest of the NBA: LeBron James was playing out of his mind and he never shifted that, even w…",0.0
"RT @sierrarise: The #EnvironmentalJustice COVID-19 Act, will help investigate and address the disproportionate effects COVID-19 has had on…",1.0
RT @dailypenn: A digital design specialist at the Annenberg School for Communication created a 360-degree virtual reality video demonstrati…,0.0
RT @mrjamesob: Conservative MPs are today asking you to applaud them for abolishing your freedom to move to 27 other countries for work. Me…,-1.0
"RT @Public_Citizen: BREAKING: Gilead is charging $3,000+ for its COVID drug, remdesivir.
 
Taxpayers spent $70,000,000 to develop this drug…",-1.0
"RT @TheOliveKnife: Dear Citi Bank ATM ke Chuuma expert @sardesairajdeep, were you &amp; ur wife baptised in 1997 by MR Roy by providing them 'H…",1.0
RT @nowthisnews: WHO Director-General Tedros Adhanom Ghebreyesus warned earlier this week that the coronavirus pandemic is ramping up aroun…,1.0
RT @andthejets: remember when fucking. ACT UP said the response to covid was paralleling the response to the AIDS crisis and everyone yelle…,-1.0
